route_id,lat,lng,city,state_id,zip,state_name,county_name,county_names_all,route_type,Zone Name
,30.44645,-83.91902,Monticello,FL,32344,Florida,Jefferson,Jefferson,Local,Central
,29.97919,-84.38387,Panacea,FL,32346,Florida,Wakulla,Wakulla|Franklin,Local,Central
,30.14416,-83.64268,Perry,FL,32347,Florida,Taylor,Taylor,Local,Central
,29.94808,-83.56762,Perry,FL,32348,Florida,Taylor,Taylor,Local,Central
,30.58662,-83.32242,Pinetta,FL,32350,Florida,Madison,Madison,Local,Central
,30.52358,-84.68362,Quincy,FL,32351,Florida,Gadsden,Gadsden,Local,Central
,30.6499,-84.58535,Quincy,FL,32352,Florida,Gadsden,Gadsden,Local,Central
,30.1695,-84.21002,Saint Marks,FL,32355,Florida,Wakulla,Wakulla,Local,Central
,29.85387,-83.40018,Salem,FL,32356,Florida,Taylor,Taylor,Local,Central
,30.09535,-84.54468,Sopchoppy,FL,32358,Florida,Wakulla,Wakulla|Franklin,Local,Central
,29.66181,-83.37047,Steinhatchee,FL,32359,Florida,Dixie,Dixie|Taylor,Local,Central
,30.36506,-84.81238,Telogia,FL,32360,Florida,Liberty,Liberty,Local,Central
,30.35765,-83.98865,Wacissa,FL,32361,Florida,Jefferson,Jefferson,Local,Central
,30.14477,-85.67448,Panama City,FL,32401,Florida,Bay,Bay,Local,Central
,30.05337,-85.55679,Panama City,FL,32403,Florida,Bay,Bay,Local,Central
,30.19075,-85.51122,Panama City,FL,32404,Florida,Bay,Bay,Local,Central
,30.20002,-85.66869,Panama City,FL,32405,Florida,Bay,Bay,Local,Central
,30.20276,-85.7912,Panama City Beach,FL,32407,Florida,Bay,Bay,Local,Central
,30.1593,-85.75324,Panama City,FL,32408,Florida,Bay,Bay,Local,Central
,30.33447,-85.70516,Panama City,FL,32409,Florida,Bay,Bay,Local,Central
,30.30975,-85.88745,Panama City Beach,FL,32413,Florida,Bay,Bay|Walton,Local,Central
,30.63637,-85.38123,Alford,FL,32420,Florida,Jackson,Jackson|Washington,Local,Central
,30.52973,-85.19308,Altha,FL,32421,Florida,Calhoun,Calhoun,Local,Central
,30.94496,-85.06073,Bascom,FL,32423,Florida,Jackson,Jackson,Local,Central
,30.38901,-85.08232,Blountstown,FL,32424,Florida,Calhoun,Calhoun,Local,Central
,30.85538,-85.72225,Bonifay,FL,32425,Florida,Holmes,Holmes|Washington,Local,Central
,30.94861,-85.36714,Campbellton,FL,32426,Florida,Jackson,Jackson,Local,Central
,30.71587,-85.79311,Caryville,FL,32427,Florida,Washington,Washington,Local,Central
,30.61797,-85.57154,Chipley,FL,32428,Florida,Washington,Washington|Bay|Jackson,Local,Central
,30.41872,-85.22562,Clarksville,FL,32430,Florida,Calhoun,Calhoun,Local,Central
,30.78609,-85.40982,Cottondale,FL,32431,Florida,Jackson,Jackson|Washington,Local,Central
,30.71415,-85.07727,Cypress,FL,32432,Florida,Jackson,Jackson,Local,Central
,30.84848,-86.19822,Defuniak Springs,FL,32433,Florida,Walton,Walton,Local,Central
,30.65367,-86.11597,Defuniak Springs,FL,32435,Florida,Walton,Walton,Local,Central
,30.43315,-85.90694,Ebro,FL,32437,Florida,Washington,Washington|Bay,Local,Central
,30.51251,-85.41744,Fountain,FL,32438,Florida,Bay,Bay|Calhoun|Jackson|Washington,Local,Central
,30.49082,-86.12933,Freeport,FL,32439,Florida,Walton,Walton,Local,Central
,30.92025,-85.52588,Graceville,FL,32440,Florida,Jackson,Jackson|Holmes,Local,Central
,30.68531,-85.00829,Grand Ridge,FL,32442,Florida,Jackson,Jackson|Calhoun,Local,Central
,30.86586,-85.11695,Greenwood,FL,32443,Florida,Jackson,Jackson,Local,Central
,30.23854,-85.65185,Lynn Haven,FL,32444,Florida,Bay,Bay,Local,Central
,30.96924,-85.19504,Malone,FL,32445,Florida,Jackson,Jackson,Local,Central
,30.84493,-85.23017,Marianna,FL,32446,Florida,Jackson,Jackson,Local,Central
,30.66663,-85.21616,Marianna,FL,32448,Florida,Jackson,Jackson|Calhoun,Local,Central
,30.27611,-85.20607,Wewahitchka,FL,32449,Florida,Calhoun,Calhoun,Local,Central
,30.63831,-85.96395,Ponce De Leon,FL,32455,Florida,Walton,Walton|Holmes,Local,Central
,29.84586,-85.3188,Port Saint Joe,FL,32456,Florida,Gulf,Gulf|Bay|Franklin,Local,Central
,30.36527,-86.18429,Santa Rosa Beach,FL,32459,Florida,Walton,Walton,Local,Central
,30.77565,-84.94949,Sneads,FL,32460,Florida,Jackson,Jackson,Local,Central
,30.30905,-86.03508,Inlet Beach,FL,32461,Florida,Walton,Walton,Local,Central
,30.55753,-85.83241,Vernon,FL,32462,Florida,Washington,Washington|Walton|Bay,Local,Central
,30.6279,-85.58728,Wausau,FL,32463,Florida,Washington,Washington,Local,Central
,30.89687,-85.95592,Westville,FL,32464,Florida,Holmes,Holmes|Walton,Local,Central
,30.00239,-85.18615,Wewahitchka,FL,32465,Florida,Gulf,Gulf,Local,Central
,30.38618,-85.464,Youngstown,FL,32466,Florida,Bay,Bay|Calhoun|Washington,Local,Central
,30.42826,-87.22277,Pensacola,FL,32501,Florida,Escambia,Escambia,Local,Central
,30.40928,-87.22636,Pensacola,FL,32502,Florida,Escambia,Escambia,Local,Central
,30.46022,-87.21372,Pensacola,FL,32503,Florida,Escambia,Escambia,Local,Central
,30.48495,-87.19093,Pensacola,FL,32504,Florida,Escambia,Escambia,Local,Central
,30.45575,-87.26082,Pensacola,FL,32505,Florida,Escambia,Escambia,Local,Central
,30.39152,-87.37167,Pensacola,FL,32506,Florida,Escambia,Escambia,Local,Central
,30.34035,-87.37706,Pensacola,FL,32507,Florida,Escambia,Escambia,Local,Central
,30.35614,-87.29866,Pensacola,FL,32508,Florida,Escambia,Escambia,Local,Central
,30.53209,-87.22235,Pensacola,FL,32514,Florida,Escambia,Escambia,Local,Central
,30.49824,-87.36543,Pensacola,FL,32526,Florida,Escambia,Escambia,Local,Central
,30.5926,-87.02344,Bagdad,FL,32530,Florida,Santa Rosa,Santa Rosa,Local,Central
,30.88513,-86.696,Baker,FL,32531,Florida,Okaloosa,Okaloosa|Santa Rosa,Local,Central
,30.61329,-87.32561,Cantonment,FL,32533,Florida,Escambia,Escambia,Local,Central
,30.53276,-87.28374,Pensacola,FL,32534,Florida,Escambia,Escambia,Local,Central
,30.96515,-87.34673,Century,FL,32535,Florida,Escambia,Escambia,Local,Central
,30.75399,-86.59491,Crestview,FL,32536,Florida,Okaloosa,Okaloosa,Local,Central
,30.78128,-86.46646,Crestview,FL,32539,Florida,Okaloosa,Okaloosa|Walton,Local,Central
,30.39666,-86.47486,Destin,FL,32541,Florida,Okaloosa,Okaloosa,Local,Central
,30.58743,-86.59296,Eglin Afb,FL,32542,Florida,Okaloosa,Okaloosa,Local,Central
,30.42801,-86.70441,Hurlburt Field,FL,32544,Florida,Okaloosa,Okaloosa,Local,Central
,30.46649,-86.65513,Fort Walton Beach,FL,32547,Florida,Okaloosa,Okaloosa,Local,Central
,30.4094,-86.6494,Fort Walton Beach,FL,32548,Florida,Okaloosa,Okaloosa,Local,Central
,30.38541,-86.34438,Miramar Beach,FL,32550,Florida,Walton,Walton,Local,Central
,30.35165,-87.10906,Gulf Breeze,FL,32561,Florida,Escambia,Escambia|Santa Rosa,Local,Central
,30.38782,-87.0331,Gulf Breeze,FL,32563,Florida,Santa Rosa,Santa Rosa,Local,Central
,30.72755,-86.7875,Holt,FL,32564,Florida,Santa Rosa,Santa Rosa|Okaloosa,Local,Central
,30.89241,-87.14071,Jay,FL,32565,Florida,Santa Rosa,Santa Rosa,Local,Central
,30.4253,-86.8843,Navarre,FL,32566,Florida,Santa Rosa,Santa Rosa,Local,Central
,30.92207,-86.43396,Laurel Hill,FL,32567,Florida,Okaloosa,Okaloosa|Walton,Local,Central
,30.87085,-87.46792,McDavid,FL,32568,Florida,Escambia,Escambia,Local,Central
,30.40666,-86.72962,Mary Esther,FL,32569,Florida,Okaloosa,Okaloosa,Local,Central
,30.80022,-86.98158,Milton,FL,32570,Florida,Santa Rosa,Santa Rosa,Local,Central
,30.67162,-87.20004,Milton,FL,32571,Florida,Santa Rosa,Santa Rosa,Local,Central
,30.73453,-87.37471,Molino,FL,32577,Florida,Escambia,Escambia,Local,Central
,30.50871,-86.4535,Niceville,FL,32578,Florida,Okaloosa,Okaloosa|Walton,Local,Central
,30.44553,-86.57401,Shalimar,FL,32579,Florida,Okaloosa,Okaloosa,Local,Central
,30.50337,-86.50942,Valparaiso,FL,32580,Florida,Okaloosa,Okaloosa,Local,Central
,30.60084,-86.97513,Milton,FL,32583,Florida,Santa Rosa,Santa Rosa,Local,Central
,29.64886,-82.32506,Gainesville,FL,32601,Florida,Alachua,Alachua,Local,Central
,29.65305,-82.35054,Gainesville,FL,32603,Florida,Alachua,Alachua,Local,Central
,29.67659,-82.37351,Gainesville,FL,32605,Florida,Alachua,Alachua,Local,Central
,29.68169,-82.44391,Gainesville,FL,32606,Florida,Alachua,Alachua,Local,Central
,29.64524,-82.41923,Gainesville,FL,32607,Florida,Alachua,Alachua,Local,Central
,29.59271,-82.3935,Gainesville,FL,32608,Florida,Alachua,Alachua,Local,Central
,29.76296,-82.27978,Gainesville,FL,32609,Florida,Alachua,Alachua,Local,Central
,29.81706,-82.49065,Alachua,FL,32615,Florida,Alachua,Alachua,Local,Central
,29.78205,-82.49933,Alachua,FL,32616,Florida,Alachua,Alachua,Local,Central
,29.30659,-82.07553,Anthony,FL,32617,Florida,Marion,Marion,Local,Central
,29.53789,-82.52295,Archer,FL,32618,Florida,Alachua,Alachua|Levy,Local,Central
,29.75661,-82.86668,Bell,FL,32619,Florida,Gilchrist,Gilchrist,Local,Central
,29.426,-82.62936,Bronson,FL,32621,Florida,Levy,Levy,Local,Central
,29.89914,-82.31216,Brooker,FL,32622,Florida,Bradford,Bradford|Alachua,Local,Central
,29.23005,-82.98331,Cedar Key,FL,32625,Florida,Levy,Levy,Local,Central
,29.42146,-82.89464,Chiefland,FL,32626,Florida,Levy,Levy,Local,Central
,29.65471,-83.16247,Cross City,FL,32628,Florida,Dixie,Dixie,Local,Central
,29.71719,-82.10225,Earleton,FL,32631,Florida,Alachua,Alachua,Local,Central
,29.3646,-82.25419,Fairfield,FL,32634,Florida,Marion,Marion,Local,Central
,29.23092,-82.72007,Gulf Hammock,FL,32639,Florida,Levy,Levy,Local,Central
,29.56889,-82.08021,Hawthorne,FL,32640,Florida,Alachua,Alachua|Putnam,Local,Central
,29.62956,-82.22557,Gainesville,FL,32641,Florida,Alachua,Alachua,Local,Central
,29.81845,-82.64155,High Springs,FL,32643,Florida,Alachua,Alachua|Gilchrist|Columbia,Local,Central
,29.50515,-83.24498,Horseshoe Beach,FL,32648,Florida,Dixie,Dixie,Local,Central
,29.74506,-82.40546,Gainesville,FL,32653,Florida,Alachua,Alachua,Local,Central
,29.82533,-81.95287,Keystone Heights,FL,32656,Florida,Clay,Clay|Bradford,Local,Central
,29.84817,-82.41214,La Crosse,FL,32658,Florida,Alachua,Alachua,Local,Central
,29.44986,-82.22187,McIntosh,FL,32664,Florida,Marion,Marion,Local,Central
,29.72301,-81.99145,Melrose,FL,32666,Florida,Putnam,Putnam|Alachua|Clay|Bradford,Local,Central
,29.49484,-82.31084,Micanopy,FL,32667,Florida,Alachua,Alachua|Marion,Local,Central
,29.26327,-82.50321,Morriston,FL,32668,Florida,Levy,Levy|Marion,Local,Central
,29.63666,-82.60015,Newberry,FL,32669,Florida,Alachua,Alachua|Gilchrist|Levy,Local,Central
,29.58144,-83.08041,Old Town,FL,32680,Florida,Dixie,Dixie,Local,Central
,29.42694,-82.21527,Orange Lake,FL,32681,Florida,Marion,Marion,Local,Central
,29.29519,-82.76743,Otter Creek,FL,32683,Florida,Levy,Levy,Local,Central
,29.36214,-82.26236,Reddick,FL,32686,Florida,Marion,Marion,Local,Central
,29.32519,-83.15995,Suwannee,FL,32692,Florida,Dixie,Dixie,Local,Central
,29.62814,-82.79446,Trenton,FL,32693,Florida,Gilchrist,Gilchrist|Levy,Local,Central
,29.79086,-82.15367,Waldo,FL,32694,Florida,Alachua,Alachua,Local,Central
,29.39544,-82.46728,Williston,FL,32696,Florida,Levy,Levy|Marion,Local,Central
,29.92831,-82.42538,Worthington Springs,FL,32697,Florida,Union,Union,Local,Central
,28.66509,-81.36916,Altamonte Springs,FL,32701,Florida,Seminole,Seminole,Local,Central
,29.04642,-81.6259,Altoona,FL,32702,Florida,Lake,Lake|Marion,Local,Central
,28.65579,-81.52139,Apopka,FL,32703,Florida,Orange,Orange|Seminole,Local,Central
,28.66255,-81.31403,Casselberry,FL,32707,Florida,Seminole,Seminole,Local,Central
,28.68751,-81.27086,Winter Springs,FL,32708,Florida,Seminole,Seminole,Local,Central
